#Deutsch	Furigana	Romaji	Type	Baseform	Romaji  
Bitte (rufen Sie) einen Krankenwagen.	救[きゅう]急[きゅう]車[しゃ]を お 願[ねが]いします。	Kyuukyuusha o onegai shimasu.	Beispielsatz		
Der Krankenwagen ist dort drüben.	救[きゅう]急[きゅう]車[しゃ]はあそこです！	Kyuukyuusha wa asokodesu!	Beispielsatz		
Die Polizei wird bald kommen.	警[けい]察[さつ]はもうすぐ 来[き]ます。	Keisatsu wa mousugu kimasu.	Beispielsatz		
Wie alt sind Sie / bist du?	何[なん]歳[さい] です か。	Nan sai desu ka.	Beispielsatz		
Ich bin neunzehn Jahre alt.	十[じゅう]九[きゅう]歳[さい]です。	Juu kyuu sai desu.	Beispielsatz		
Dies ist meine Telefonnummer.	これは 私[わたし]の 電[でん]話[わ]番[ばん]号[ごう]です。	Kore wa watashi no denwa bangou desu.	Beispielsatz		
Meine Telefonnummer ist 08-123456.	私[わたし]の 電[でん]話[わ]番[ばん]号[ごう] は 〇[ぜろ]八[はち] の 一[いち]二[に]三[さん]四[よん]五[ご]六[ろく] です。	Watashi no denwa bangou wa zero hachi no ichi ni san yon go roku desu.	Beispielsatz		
Mein Vater ist neunundfünfzig Jahre alt.	父[ちち]は 五[ご]十[じゅう]九[きゅう]歳[さい]です。	Chichi wa go juu kyuu sai desu.	Beispielsatz		
Ich bin allergisch. / Ich habe eine Allergie.	アレルギーがあります。	Arerugii ga arimasu.	Beispielsatz		
Entschuldigung, haben Sie Allergien?	すみません、アレルギーはありますか。	Sumimasen, arerugii wa arimasu ka.	Beispielsatz		
Wo ist Ihre Familie?	ご 家[か]族[ぞく]はどこですか。	Gokazoku wa doko desu ka.	Beispielsatz		
Bitte (geben Sie mir) die Telefonnummer Ihrer Familie.	ご 家[か]族[ぞく] の 電[でん]話[わ]番[ばん]号[ごう]を お 願[ねが]いします。	Gokazoku no denwa bangou o onegai shimasu.	Beispielsatz		
Wo lebt Ihre Familie?	ご 家[か]族[ぞく]はどこ に 住[す]んで います か。	Gokazoku wa doko ni sundeimasu ka.	Beispielsatz		
Ich wohne in der Nähe.	私[わたし]は 近[ちか]く に 住[す]んで います。	Watashi wa chikaku ni sundeimasu.	Beispielsatz		
Lebt Ihre Familie auch in Tokio?	ご 家[か]族[ぞく]も 東[とう]京[きょう] に 住[す]んで います か。	Gokazoku mo Toukyou ni sundeimasu ka.	Beispielsatz		
Wann kommen Ihre Eltern?	ご 両[りょう]親[しん]は いつ 来[き]ますか。	Goryoushin wa itsu kimasu ka.	Beispielsatz		
Ich werde heute schlafen.	今日[きょう]寝[ね]ます。	Kyou nemasu.	Beispielsatz		
Ich werde Medizin einnehmen.	薬[くすり]を 飲[の]みます。	Kusuri o nomimasu.	Beispielsatz		
Ich werde mich heute ausruhen.	今日[きょう]休[やす]みます。	Kyou yasumimasu.	Beispielsatz		
Ich werde mich ordentlich ausruhen.	ちゃんと 休[やす]みます。	Chanto yasumimasu.	Beispielsatz		
Ich nehme jeden Abend Medikamente.	毎[まい]晩[ばん]薬[くすり]を 飲[の]みます。	Maiban kusuri o nomimasu.	Beispielsatz		
Ich werde dafür sorgen, dass ich um 10 Uhr schlafen gehe.	ちゃんと 十[じゅう]時[じ]に 寝[ね]ます。	Chanto juu ji ni nemasu.	Beispielsatz		
Was ist das dort drüben für ein Dessert?	あのデザートは 何[なん]ですか。	Ano dezaato wa nan desu ka.	Beispielsatz		
Gehst du oft in den Park?	よく 公[こう]園[えん]に 行[い]きますか。	Yoku kouen ni ikimasu ka.	Beispielsatz		
Im Frühling gehe ich oft in den Park.	春[はる]はよく 公[こう]園[えん]に 行[い]きます。	Haru wa yoku kouen ni ikimasu.	Beispielsatz		
Wie ist das Wetter?	天[てん]気[き]はどうですか。	Tenki wa dou desu ka.	Beispielsatz		
Der Frühling kommt bald.	春[はる]はもうすぐ 来[き]ます。	Haru wa mousugu kimasu.	Beispielsatz		
Morgen wird es nicht regnen.	明[あ]日[した]は 雨[あめ]じゃないです。	Ashita wa ame janai desu.	Beispielsatz		
Wird es heute regnen?	今日[きょう]は 雨[あめ]ですか。	Kyou wa ame desu ka.	Beispielsatz		
Heute wird es warm.	今日[きょう]は 暖[あたた]かいです。	Kyou wa atatakai desu.	Beispielsatz		
Wird es morgen auch warm sein?	明[あ]日[した]も 暖[あたた]かいですか。	Ashita mo atatakai desu ka.	Beispielsatz		
Das Wetter wird morgen auch schön sein.	明[あ]日[した]の 天[てん]気[き]も いい です。	Ashita no tenki mo ii desu.	Beispielsatz		
Ich mag das Meer.	海[うみ]が 好[す]き です。	Umi ga suki desu.	Beispielsatz		
Im Sommer gehe ich immer ans Meer.	夏[なつ]は いつも 海[うみ]に 行[い]きます。	Natsu wa itsumo umi ni ikimasu.	Beispielsatz		
Im Sommer gehe ich immer mit meinem Vater in die Berge.	夏[なつ]は いつも 父[ちち]と 山[やま]に 行[い]きます。	Natsu wa itsumo chichi to yama ni ikimasu.	Beispielsatz		
An Regentagen lese ich Bücher.	雨[あめ]の 日[ひ]は 本[ほん]を 読[よ]みます。	Ame no hi wa hon o yomimasu.	Beispielsatz		
An Sonnentagen schwimme ich oft.	晴[は]れの 日[ひ]はよく 泳[およ]ぎます。	Hare no hi wa yoku oyogimasu.	Beispielsatz		
Auch am Samstag ist es sonnig.	土[ど]曜[よう]日[び]も 晴[は]れです。	Doyoubi mo hare desu.	Beispielsatz		
An Sonnentagen gehe ich ans Meer.	晴[は]れの 日[ひ]は 海[うみ]に 行[い]きます。	Hare no hi wa umi ni ikimasu.	Beispielsatz		
Ich werde morgen zum Schwimmbad gehen.	明[あ]日[した]プールに 行[い]きます。	Ashita puuru ni ikimasu.	Beispielsatz		
Ist es in Tokio noch immer heiß?	東[とう]京[きょう]はまだ 暑[あつ]いですか。	Toukyou wa mada atsui desu ka.	Beispielsatz		
Das Feuerwerk ist am Sonntag!	花[はな]火[び]は 日[にち]曜[よう]日[び]です！	Hanabi wa nichiyoubi desu!	Beispielsatz		
Ich mag die Sommerferien.	夏[なつ]休[やす]みが 好[す]きです。	Natsu yasumi ga suki desu.	Beispielsatz		
Im Juli fahre ich oft nach Kyoto.	七月[しちがつ]はよく 京[きょう]都[と]に 行[い]きます。	Shichigatsu wa yoku Kyouto ni ikimasu.	Beispielsatz		
Wird es nächste Woche auch regnen?	来[らい]週[しゅう]も 雨[あめ]ですか。	Raishuu mo ame desu ka.	Beispielsatz		
Ist nächste Woche ein Feuerwerk?	花[はな]火[び]は 来[らい]週[しゅう]ですか。	Hanabi wa raishuu desu ka.	Beispielsatz		
Ich mag den Herbst.	秋[あき]が 好[す]きです。	Aki ga suki desu.	Beispielsatz		
Es wird morgen bewölkt sein.	明[あ]日[した]は 曇[くも]りです。	Ashita wa kumori desu.	Beispielsatz		
Der September ist manchmal heiß.	九月[くがつ]は 時々[ときどき]暑[あつ]いです。	Kugatsu wa tokidoki atsui desu.	Beispielsatz		
Ich werde heute Abend nach Asakusa fahren.	今[こん]晩[ばん]浅[あさ]草[くさ]に 行[い]きます。	Konban Asakusa ni ikimasu.	Beispielsatz		
Ich gehe heute Abend in eine leckere Pizzeria.	今[こん]晩[ばん]おいしいピザ 屋[や]に 行[い]きます。	Konban oishii pizaya ni ikimasu.	Beispielsatz		
Ich fahre heute Abend mit Freunden nach Shibuya.	今[こん]晩[ばん]友[とも]達[だち]と 渋[しぶ]谷[や]に 行[い]きます。	Konban tomodachi to Shibuya ni ikimasu.	Beispielsatz		
Ich gehe jede Woche zu Konzerten.	毎[まい]週[しゅう]コンサート に 行[い]きます。	Maishuu konsaato ni ikimasu.	Beispielsatz		
In Osaka ist es kalt.	大[おお]阪[さか]は 寒[さむ]いです。	Oosaka wa samui desu.	Beispielsatz		
Heute schneit es in Tokio.	今日[きょう]東[とう]京[きょう]は 雪[ゆき]です。	Kyou Toukyou wa yuki desu.	Beispielsatz		
Im Winter gehe ich oft in die Berge.	冬[ふゆ]は よく 山[やま]に 行[い]きます。	Fuyu wa yoku yama ni ikimasu.	Beispielsatz		
Hast du Kakao?	ココアはありますか。	Kokoa wa arimasu ka.	Beispielsatz		
Im Winter trinke ich immer Kakao.	冬[ふゆ]は いつもココアを 飲[の]みます。	Fuyu wa itsumo kokoa o nomimasu.	Beispielsatz		
Ich werde morgen zu einer heißen Quelle gehen.	明[あ]日[した]温[おん]泉[せん]に 行[い]きます。	Ashita onsen ni ikimasu.	Beispielsatz		
Gehen Sie oft zu heißen Quellen?	よく 温[おん]泉[せん]に 行[い]きますか。	Yoku onsen ni ikimasu ka.	Beispielsatz		
An Schnee-Tagen esse ich oft warme Udon-Nudeln.	雪[ゆき]の 日[ひ]はよく 暖[あたた]かいうどんを 食[た]べます。	Yuki no hi wa yoku atatakai udon o tabemasu.	Beispielsatz		
Wird es morgen noch kalt sein?	明[あ]日[した]はまだ 寒[さむ]いですか。	Ashita wa mada samui desu ka.	Beispielsatz		
Die Sommerferien sind lang.	夏[なつ]休[やす]みは 長[なが]いです。	Natsu yasumi wa nagai desu.	Beispielsatz		
Heute wird es in Tokio regnen.	今日[きょう]東[とう]京[きょう]は 雨[あめ]です。	Kyou Toukyou wa ame desu.	Beispielsatz		
Yokohama ist eine wirklich hübsche Stadt, nicht wahr?	横[よこ]浜[はま]は 本[ほん]当[とう]に 綺[き]麗[れい]な 都[と]市[し]ですね。	Yokohama wa hontou ni kireina toshi desu ne.	Beispielsatz		
Ja, mein Vater wohnt in der Nähe.	はい、 父[ちち]は 近[ちか]く に 住[す]んで います。	Hai, chichi wa chikaku ni sundeimasu.	Beispielsatz		
Entschuldigung, sind Sie OK?	すみません、 大[だい]丈[じょう]夫[ぶ] ですか。	Sumimasen, daijoubu desu ka.	Beispielsatz		
Ja, ich bin OK!	はい、 大[だい]丈[じょう]夫[ぶ] です！	Hai, daijoubu desu!	Beispielsatz		
Ich fühle mich krank.	具[ぐ]合[あい]が 悪[わる]い です。	Guai ga warui desu.	Beispielsatz		
Möchten Sie sich ein wenig hinsetzen?	少[すこ]し 座[すわ]りますか。	Sukoshi suwarimasu ka.	Beispielsatz		
Dies ist ein bisschen gefährlich, nicht wahr?	これは 少[すこ]し 危[あぶ]ないですね。	Kore wa sukoshi abunai desu ne.	Beispielsatz		
Das Krankenhaus ist etwas weit weg.	その 病[びょう]院[いん]は 少[すこ]し 遠[とお]いです。	Sono byouin wa sukoshi tooi desu.	Beispielsatz		
Wo ist jener berühmte Schrein?	その 有[ゆう]名[めい]な 神[じん]社[じゃ]はどこですか。	Sono yuumeina jinja wa doko desu ka.	Beispielsatz		
Dieser Snack kostet 200 Yen.	この お 菓[か]子[し]は 二[に]百[ひゃく]円[えん]です。	Kono okashi wa ni hyaku en desu.	Beispielsatz		
Wie viel kostet dieser Snack?	この お 菓[か]子[し]は いくらですか。	Kono okashi wa ikura desu ka.	Beispielsatz		
Was für ein Ort ist Asakusa?	浅[あさ]草[くさ]はどんな 所[ところ]ですか。	Asakusa wa donna tokoro desu ka.	Beispielsatz		
Zehn Stunden sind sehr lang, nicht wahr?	十[じゅう]時[じ]間[かん]はとても 長[なが]いですね。	Juu jikan wa totemo nagai desu ne.	Beispielsatz		
(Ihr) jüngerer Bruder /höflich/	弟[おとうと]さん	otouto-san	Vokabel-Nomen		
Geschwister, Brüder und Schwestern	兄[きょう]弟[だい]	kyoudai	Vokabel-Nomen		
sein, haben, sich befinden /lebende Obj., höflich/	います	imasu	Vokabel-Verb-1st	いる	iru
Japanisch	日[に]本[ほん]語[ご]	nihongo	Vokabel-Nomen		
(Ihre) ältere Schwester, Fräulein, Kellnerin /höflich/	お 姉[ねえ]さん	onee-san	Vokabel-Nomen		
Trainer, Coach	コーチ	koochi	Vokabel-Katakana		
Australien	オーストラリア	Oosutoraria	Vokabel-Katakana		
können, fähig sein /höflich/	できます	dekimasu	Vokabel-Verb-1st	できる	dekiru
(Ihre) jüngere Schwester /höflich/	妹[いもうと]さん	imouto-san	Vokabel-Nomen		
Taiwan	台[たい]湾[わん]	Taiwan	Vokabel-Nomen		
Chinesisch	中[ちゅう]国[ごく]語[ご]	chuugokugo	Vokabel-Nomen		
Englisch	英[えい]語[ご]	eigo	Vokabel-Nomen		
zwei (Personen)	二[ふた]人[り]	futari	Vokabel-Num		
(Ihr) älterer Bruder /höflich/	お 兄[にい]さん	onii-san	Vokabel-Nomen		
Malaysia	マレーシア	Mareeshia	Vokabel-Katakana		
Koreanisch	韓[かん]国[こく]語[ご]	kankokugo	Vokabel-Nomen		
eine (Person), allein, für sich	一[ひと]人[り]	hitori	Vokabel-Num		
(mein) Kind	子[こ]供[ども]	kodomo	Vokabel-Nomen		
Seoul	ソウル	souru	Vokabel-Katakana		
(Ihr) Kind /höflich/	お 子[こ]さん	oko-san	Vokabel-Nomen		
Arbeit, Geschäft	仕[し]事[ごと]	shigoto	Vokabel-Nomen		
zurückgehen, heimkehren /höflich/	帰[かえ]ります	kaerimasu	Vokabel-Verb-5st	帰[かえ]る	kaeru
Zuhause, Heim, Familie, Haus	家[うち]	uchi	Vokabel-Nomen		
Haushalt, Arbeiten im Haushalt	家[か]事[じ]	kaji	Vokabel-Nomen		
rückwärtige Richtung, hinten; spätere Situation, später, danach	後[あと]	ato	Vokabel-Nomen		
was, welche(r/s)	何[なに]	nani	Vokabel-Pron		
Schule	学校[がっこう]	gakkou	Vokabel-Nomen		
helfen /höflich/	手[て]伝[つだ]います	tetsudaimasu	Vokabel-Verb-5st	手[て]伝[つだ]う	tetsudau
(das) Reinemachen, Aufräumen, Putzen	掃[そう]除[じ]	souji	Vokabel-Nomen		
(schulische) Hausaufgaben	宿[しゅく]題[だい]	shukudai	Vokabel-Nomen		
verschieden, allerlei, dies und das; verschiedene Dinge	色々[いろいろ]	iroiro	Vokabel-Adj-na		
Wäsche, (das) Waschen	洗[せん]濯[たく]	sentaku	Vokabel-Nomen		
mit wem	誰[だれ]と	dare to	Vokabel-Pron		
einfach, leicht, mühelos	易[やさ]しい	yasashii	Vokabel-Adj-i		
Bad, Badewanne, Badehaus /höflich/	お 風[ふ]呂[ろ]	ofuro	Vokabel-Nomen		
schwer, furchtbar, hart; außerordentlich, außergewöhnlich, sehr	大[たい]変[へん]	taihen	Vokabel-Adj-na		
und, dann, und dann /Schriftsprache/	そして	soshite	Vokabel-Sonst		
hineingehen, eintreten, erhalten, anfangen /höflich/	入[はい]ります	hairimasu	Vokabel-Verb-5st	入[はい]る	hairu
Stretching, Dehnübungen	ストレッチ	sutoretchi	Vokabel-Katakana		
Einkauf, Shopping	買[か]い 物[もの]	kaimono	Vokabel-Nomen		
angenehm, vergnüglich, Spaß machend	楽[たの]しい	tanoshii	Vokabel-Adj-i		
Kocherei, (das) Kochen, Kochkunst; Essen, Speise	料[りょう]理[り]	ryouri	Vokabel-Nomen		
Gartenarbeit	ガーデニング	gaadeningu	Vokabel-Katakana		
Wie alt ist Ihr jüngerer Bruder?	弟[おとうと]さんは 何[なん]歳[さい]ですか。	Otouto-san wa nan sai desu ka.	Beispielsatz		
Meine Geschwister sind nervig.	私[わたし]の 兄[きょう]弟[だい]は うるさいです。	Watashi no kyoudai wa urusai desu.	Beispielsatz		
Haben Sie Geschwister?	兄[きょう]弟[だい]は いますか。	Kyoudai wa imasu ka.	Beispielsatz		
Ich habe einen jüngeren Bruder.	弟[おとうと]が います。	Otouto ga imasu.	Beispielsatz		
Wie alt ist Ihre ältere Schwester?	お 姉[ねえ]さんは 何[なん]歳[さい]ですか。	Onee-san wa nan sai desu ka.	Beispielsatz		
Was für eine Art von Mensch ist Ihre ältere Schwester?	お 姉[ねえ]さんはどんな 人[ひと]ですか。	Onee-san wa donna hito desu ka.	Beispielsatz		
Ich bin auch Japanischlehrer.	私[わたし]も 日[に]本[ほん]語[ご]の 先[せん]生[せい]です。	Watashi mo nihongo no sensei desu.	Beispielsatz		
Mein jüngerer Bruder ist Baseball-Trainer.	弟[おとうと]は 野[や]球[きゅう]のコーチです。	Otouto wa yakyuu no koochi desu.	Beispielsatz		
Meine ältere Schwester mag Australien.	姉[あね]はオーストラリアが 好[す]きです。	Ane wa Oosutoraria ga suki desu.	Beispielsatz		
Ich kann auch Japanisch (sprechen).	私[わたし]も 日[に]本[ほん]語[ご]が できます。	Watashi mo nihongo ga dekimasu.	Beispielsatz		
Wie alt ist Ihre jüngere Schwester?	妹[いもうと]さんは 何[なん]歳[さい]ですか。	Imouto-san wa nan sai desu ka.	Beispielsatz		
Meine jüngere Schwester mag Taiwan.	妹[いもうと]は 台[たい]湾[わん]が 好[す]きです。	Imouto wa Taiwan ga sukidesu.	Beispielsatz		
Die Freunde meiner jüngeren Schwester sind aus Taiwan.	妹[いもうと]の 友[とも]達[だち]は 台[たい]湾[わん] 出[しゅっ]身[しん]です。	Imouto no tomodachi wa Taiwan shusshin desu.	Beispielsatz		
Meine jüngere Schwester kann Chinesisch (sprechen).	妹[いもうと]は 中[ちゅう]国[ごく]語[ご]が できます。	Imouto wa chuugokugo ga dekimasu.	Beispielsatz		
Meine jüngere Schwester wird nächste Woche nach Taiwan reisen.	妹[いもうと]は 来[らい]週[しゅう]台[たい]湾[わん]に 行[い]きます。	Imouto wa raishuu Taiwan ni ikimasu.	Beispielsatz		
Ich kann auch Englisch (sprechen).	私[わたし]も 英[えい]語[ご]が できます。	Watashi mo eigo ga dekimasu.	Beispielsatz		
Ich habe einen netten älteren Bruder.	優[やさ]しい 兄[あに]が います。	Yasashii ani ga imasu.	Beispielsatz		
Ich habe zwei jüngere Brüder.	弟[おとうと]が 二[ふた]人[り] います。	Otouto ga futari imasu.	Beispielsatz		
Wie alt ist Ihr älterer Bruder?	お 兄[にい]さんは 何[なん]歳[さい]ですか。	Onii-san wa nan sai desu ka.	Beispielsatz		
Ist Ihr älterer Bruder Englisch-Lehrer?	お 兄[にい]さんは 英[えい]語[ご]の 先[せん]生[せい]ですか。	Onii-san wa eigo no sensei desu ka.	Beispielsatz		
Mein älterer Bruder mag Malaysia.	兄[あに]はマレーシアが 好[す]きです。	Ani wa Mareeshia ga suki desu.	Beispielsatz		
Mein älterer Bruder schaut sich oft malaysische Filme an.	兄[あに]はよくマレーシアの 映[えい]画[が]を見[み]ます。	Ani wa yoku Mareeshia no eiga o mimasu.	Beispielsatz		
Ich habe zwei Geschwister.	兄[きょう]弟[だい]が 二[ふた]人[り] います。	Kyoodai ga futari imasu.	Beispielsatz		
Ja, ich habe zwei ältere Schwestern.	はい、 姉[あね]が 二[ふた]人[り] います。	Hai, ane ga futari imasu.	Beispielsatz		
Ich kann auch Koreanisch (sprechen).	私[わたし]も 韓[かん]国[こく]語[ご]が できます。	Watashi mo kankokugo ga dekimasu.	Beispielsatz		
Ich habe eine ältere Schwester.	姉[あね]が一[ひと]人[り] います。	Ane ga hitori imasu.	Beispielsatz		
Ich habe zwei Kinder.	子[こ]供[ども]が 二[ふた]人[り] います。	Kodomo ga futari imasu.	Beispielsatz		
Ich lebe mit meinen Kindern in Seoul.	私[わたし]の 子[こ]供[ども]とソウルに 住[す]んで います。	Watashi no kodomo to Souru ni sundeimasu.	Beispielsatz		
Wie alt ist Ihr Kind?	お 子[こ]さんは 何[なん]歳[さい]ですか。	Oko-san wa nan sai desu ka.	Beispielsatz		
Kens Geschwister sind wirklich modisch!	けんさんの 兄[きょう]弟[だい]は 本[ほん]当[とう]にお 洒落[しゃれ]です！	Ken-san no kyoudai wa hontou ni oshare desu!	Beispielsatz		
Wohin gehst du oft im Sommer?	夏[なつ]はよくどこに 行[い]きますか。	Natsu wa yoku doko ni ikimasu ka.	Beispielsatz		
Ich schaue mir mit Freunden ein Feuerwerk an.	友[とも]達[だち]と 花[はな]火[び]を 見[み]ます。	Tomodachi to hanabi o mimasu.	Beispielsatz		
Ich werde ordentlich Medizin einnehmen.	ちゃんと 薬[くすり]を 飲[の]みます。	Chanto kusuri o nomimasu.	Beispielsatz		
Wie ist die Arbeit?	仕[し]事[ごと]はどうですか。	Shigoto wa dou desu ka.	Beispielsatz		
Ich kehre jetzt heim.	今[いま]家[うち]に 帰[かえ]ります。	Ima uchi ni kaerimasu.	Beispielsatz		
Um welche Uhrzeit werden Sie heimkehren?	何[なん]時[じ]に 家[うち]に 帰[かえ]りますか。	Nanji ni uchi ni kaerimasu ka.	Beispielsatz		
